,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
377,Planet of the Apes,(1968),112 min,8.0,79        ,"185,771",$33.40M,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
378,The Pursuit of Happyness,(2006),117 min,8.0,64        ,"532,573",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
379,Big Fish,(2003),125 min,8.0,58        ,"448,868",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
380,Do the Right Thing,(1989),120 min,8.0,93        ,"106,849",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
381,The Bourne Ultimatum,(2007),115 min,8.0,85        ,"645,020",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
382,Pâfekuto burû,(1997),81 min,8.0,67        ,"84,461",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
383,Slumdog Millionaire,(2008),120 min,8.0,84        ,"859,702",$141.32M,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
384,JFK,(1991),189 min,8.0,72        ,"162,383",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
385,Life of Brian,(1979),94 min,8.0,77        ,"409,797",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
386,Being There,(1979),130 min,8.0,83        ,"74,996",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
387,Contratiempo,(2016),106 min,8.0,****,"183,459",%^%^%^,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
388,Dogville,(2003),178 min,8.0,59        ,"153,437",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
389,Kill Bill: Vol. 2,(2004),137 min,8.0,83        ,"775,707",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
390,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        ,"221,128",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
391,The King's Speech,(2010),118 min,8.0,88        ,"692,721",$138.80M,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
392,Lion,(2016),118 min,8.0,69        ,"243,044",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
393,Ip Man,(2008),106 min,8.0,59        ,"228,802",%^%^%^,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
394,Bãhubali: The Beginning,(2015),159 min,8.0,****,"130,504",$6.74M,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
395,Sling Blade,(1996),135 min,8.0,84        ,"96,262",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
396,What Ever Happened to Baby Jane?,(1962),134 min,8.0,75        ,"58,960",$4.05M,A former child star torments her paraplegic sister in their decaying Hollywood mansion.
397,Chung Hing sam lam,(1994),102 min,8.0,78        ,"88,403",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
398,Fiddler on the Roof,(1971),181 min,8.0,67        ,"45,619",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
399,The Last Picture Show,(1971),118 min,8.0,93        ,"50,150",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
400,Cinderella Man,(2005),144 min,8.0,69        ,"192,685",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
401,Fitzcarraldo,(1982),158 min,8.0,****,"36,598",%^%^%^,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
402,The Maltese Falcon,(1941),100 min,8.0,97        ,"162,591",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
403,High Noon,(1952),85 min,8.0,89        ,"107,179",$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
404,Annie Hall,(1977),93 min,8.0,92        ,"270,727",$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
405,Roman Holiday,(1953),118 min,8.0,78        ,"142,739",%^%^%^,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
406,Kaze no tani no Naushika,(1984),117 min,8.0,86        ,"174,463",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
407,Tenkû no shiro Rapyuta,(1986),125 min,8.0,78        ,"172,543",%^%^%^,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
408,Solaris,(1972),167 min,8.0,93        ,"94,701",%^%^%^,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
409,Rio Bravo,(1959),141 min,8.0,93        ,"65,402",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
410,Mommy,(I) (2014),139 min,8.0,74        ,"59,276",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
411,Pink Floyd: The Wall,(1982),95 min,8.0,47        ,"83,188",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
412,The Straight Story,(1999),112 min,8.0,86        ,"93,376",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
413,The Night of the Hunter,(1955),92 min,8.0,97        ,"92,641",$0.65M,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
414,Papillon,(1973),151 min,8.0,58        ,"134,411",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
415,8½,(1963),138 min,8.0,93        ,"121,383",$0.05M,A harried movie director retreats into his memories and fantasies.
416,La dolce vita,(1960),174 min,8.0,95        ,"75,681",$19.52M,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
417,Das Cabinet des Dr. Caligari,(1920),76 min,8.0,****,"66,793",%^%^%^,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
418,Gandhi,(1982),191 min,8.0,79        ,"236,423",$52.77M,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
419,WolfWalkers,(2020),103 min,8.0,87        ,"35,396",%^%^%^,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
420,Der Himmel über Berlin,(1987),128 min,8.0,79        ,"73,595",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
421,Out of the Past,(1947),97 min,8.0,85        ,"39,101",%^%^%^,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
422,Sweet Smell of Success,(1957),96 min,8.0,100        ,"33,955",%^%^%^,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
